nCount,runID
45606,849513
36982,849514
43528,849515
46197,849516
47001,849517
42081,849518
42385,849519
44755,849520
45592,849521
39296,849522
39994,849523
46533,849524
37478,849525
39693,849526
42558,849527
43455,849528
42638,849529
40188,849530
39854,849531
35320,849532
41769,849533
34454,849534
40677,849535
41375,849536
39627,849537
41631,849538
37409,849539
39386,849540
41490,849541
42917,849542
36194,849543
43620,849544
35277,849545
43425,849546
39102,849547
40942,849548
46181,849549
41522,849550
41656,849551
43831,849552
41643,849553
40298,849554
41625,849555
38760,849556
43445,849557
41389,849558
43233,849559
43783,849560
45793,849561
42495,849562
40635,849563
39050,849565
43239,849566
40130,849567
39431,849568
36844,849569
37733,849570
47952,849571
45833,849571
39338,849573
44962,849574
40482,849575
40553,849576
42272,849577
31692,849578
39233,849579
39472,849580
40959,849581
43239,849582
43256,849583
42843,849584
41246,849585
43666,849586
40995,849587
41377,849588
43236,849589
41384,849590
40245,849591
45762,849592
41754,849592
30421,849593
39317,849595
43906,849596
37604,849597
40611,849598
41730,849599
36793,849600
41826,849601
37280,849602
35101,849603
38646,849604
38751,849605
42691,849606
42315,849607
36335,849607
22051,849608
19571,849610
24333,849611
18867,849612
26375,849613
23438,849614
24569,849614
21021,849616
21773,849617
23634,849618
21428,849618
19394,849620
24405,849620
9728,849726
18293,849727
7751,849728
12169165,849729
11978157,849730
13112829,849731
9105066,849732
13485008,849733
13888054,849734
13149547,849735
4136091,849736
1483040,849737
1697483,849738
-10954,849739
4088461,849740
4323983,849741
4227549,849742
1340692,849743
45340,849744
1794259,849745
-179121,849746
4029680,849747
4042116,849748
41121,849749
61834,849750
-5720,849904
